name,street,city,state,zip
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"""94612"""
Academy of Chinese Culture and Health Sciences,1601 Clay St,Oakland,CA,"""94612"""
Academy of Computer Education,"7833 Walker Drive, Suite 520C",Greenbelt,MD,"""20770"""
Academy of Cosmetology,2088 North Courtenay Parkway,Merritt Island,FL,"""32953"""
Academy of Cosmetology,5117 Dorchester Road,North Charleston,SC,"""29418-5607"""
Academy of Cosmetology,5117 Dorchester Road,North Charleston,SC,"""29418-5607"""
Academy of Cosmetology,1901 West William Cannon Drive,Austin,TX,"""78745"""
Academy of Cosmetology,2088 North Courtenay Parkway,Merritt Island,FL,"""32953"""
Academy of Cosmetology,2310 West Court Street,Janesville,WI,"""53545"""
Academy of Cosmetology and Esthetics,1419 West Austin Boulevard,Nevada,MO,"""64772"""
Academy of Cosmetology Inc,133 W Mendenhall,Bozeman,MT,"""59715-3544"""
"Academy of Cosmetology, L.L.C.",1368 Jadwin Avenue,Richland,WA,"""99354"""
Academy of Couture Art,"8484 Wilshire Boulevard, Suite 730",Beverly Hills,CA,"""90211"""
Academy of Esthetics and Cosmetology,1242 San Fernando Road,San Fernando,CA,"""91340"""
Academy of Hair Design,512 S Chestnut,Lufkin,TX,"""75904"""
Academy of Hair Design,1815 Terry Rd,Jackson,MS,"""39204"""
Academy of Hair Design,"5191 W Charleston Blvd, Suite #150",Las Vegas,NV,"""89102"""
Academy of Hair Design,1815 Terry Rd,Jackson,MS,"""39204"""
Academy of Hair Design,512 S Chestnut,Lufkin,TX,"""75904"""
Academy of Hair Design,"3141 College, Suite A-10",Beaumont,TX,"""77701-4650"""
Academy of Hair Design #6,6552 U.S. Highway 49,Hattiesburg,MS,"""39401"""
Academy of Hair Design Four,3167 Hwy 80 E,Pearl,MS,"""39208"""
Academy of Hair Design Inc,115 S Fifth St,Salina,KS,"""67401"""
Academy of Hair Design Inc,305 Court NE,Salem,OR,"""97301"""
Academy of Hair Design Seven,215 HWY 35 N,Carthage,MS,"""39051"""
"Academy of Hair Design, Inc.",1834 South Glenstone,Springfield,MO,"""65804"""
Academy of Hair Technology,3715 E North St Ste F,Greenville,SC,"""29615-2363"""
Academy of Healing Arts Massage and Facial Skin Care,3141 S Military Tr,Lake Worth,FL,"""33463-2113"""
Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,"""98109"""
Academy of Interactive Entertainment,305 Harrison Street,Seattle,WA,"""98109"""
Academy of Massage & Bodywork,"1218 Pulaski Highway, Suite 324",Bear,DE,"""19701"""
Academy of Massage Therapy - Hackensack,"321 Main Street, 2nd Floor",Hackensack,NJ,"""07601"""
Academy of Massage Therapy - Hackensack,"321 Main Street, 2nd Floor",Hackensack,NJ,"""07601"""
Academy of Medical and Health Science Inc.,"1339 South Pueblo Blvd., Suite 100",Pueblo,CO,"""81005"""
